tile_id,cement_prob,cement_uid,dist_m
WRS2-117031-03394,0.4557463824748993,CHN0427,456.1387264956169
WRS2-117031-13381,0.5777652859687805,CHN0870,512.1255951143204
WRS2-118029-06432,0.33260199427604675,CHN1057,701.8724905501026
WRS2-118029-13241,0.6543057560920715,CHN1059,94.57808563129726
WRS2-118030-02418,0.8972375988960266,CHN1061,321.76463813832993
WRS2-118030-02547,0.9405179023742676,CHN0424,34.954895931466176
WRS2-118030-10998,0.22615015506744385,CHN0426,713.1127680217772
WRS2-118030-13604,0.5006083846092224,CHN0178,474.47281259429667
WRS2-118030-16550,0.8506508469581604,CHN1063,504.3606856286102
WRS2-119033-04649,0.14406143128871918,CHN0481,803.1166451155412
WRS2-119033-04649,0.14406143128871918,CHN0914,833.3599051666818
WRS2-120027-13431,0.3463335633277893,CHN1236,710.0495209735194
WRS2-120027-13431,0.3463335633277893,CHN0334,229.91962910801783
WRS2-120037-01737,0.2475450187921524,CHN0025,643.3843522258572
WRS2-120037-01737,0.2475450187921524,CHN1216,529.6814162276384
WRS2-120038-12121,0.3909400403499603,CHN1216,258.56209919280656
WRS2-120038-16916,0.8494634628295898,CHN0064,370.69823017312126
WRS2-120038-19073,0.3005538284778595,CHN0025,449.95749793403576
WRS2-120043-03605,0.9001114964485168,CHN1238,239.72195556410597
WRS2-120043-06999,0.8820969462394714,CHN0272,120.36942290062335
WRS2-120043-07217,0.8199627995491028,CHN0907,341.0302906667765
WRS2-120043-11067,0.2507544755935669,CHN0190,669.2072108320134
WRS2-120043-18691,0.2597540020942688,CHN1108,613.3571804928132
WRS2-120043-19417,0.7611039876937866,CHN0207,542.39444366778
WRS2-120044-02828,0.4331816732883453,CHN0195,273.65097436204576
WRS2-121034-07351,0.7226991057395935,CHN0855,283.4558144187519
WRS2-121036-08030,0.2541659772396088,CHN1068,390.90871009436626
WRS2-121036-09966,0.6526449918746948,CHN1175,305.815182557866
WRS2-121042-11491,0.5046744346618652,CHN0822,565.7264962982349
WRS2-121043-03225,0.1945178508758545,CHN0503,522.4461430332328
WRS2-121043-16811,0.3028058111667633,CHN0927,598.658594952008
WRS2-122031-04706,0.2258281260728836,CHN1267,747.2995313580268
WRS2-122032-17245,0.2880788147449493,CHN1122,622.7740111847025
WRS2-122036-12133,0.957708477973938,CHN0746,387.7758418085633
WRS2-122036-14875,0.19555296003818512,CHN1160,711.9208432957632
WRS2-122036-19845,0.6051888465881348,CHN1161,499.75677411561634
WRS2-122037-03569,0.6207239627838135,CHN1225,458.5582089608683
WRS2-122037-15144,0.1073163077235222,CHN0011,873.5489283604949
WRS2-122037-18415,0.4180625975131989,CHN0341,573.2825767097773
WRS2-122037-22612,0.1813923269510269,CHN0960,523.6556234146653
WRS2-122039-00019,0.5262600779533386,CHN0350,532.4996047768458
WRS2-122039-00352,0.23083342611789706,CHN0072,767.767648076105
WRS2-122039-09219,0.3676307201385498,CHN0354,588.0215807979108
WRS2-122039-11494,0.21914580464363095,CHN0437,603.2962704637571
WRS2-122039-12903,0.7973440289497375,CHN0074,75.75011462764533
WRS2-122039-13625,0.8911308050155641,CHN1038,157.98549496110402
WRS2-122039-18383,0.5913539528846741,CHN1071,157.1242576227077
WRS2-123032-11953,0.19650624692440036,CHN0081,654.4652783018837
WRS2-123033-00963,0.7109386324882507,CHN1177,464.9093396976206
WRS2-123033-18497,0.2824816405773163,CHN0086,444.8098098577841
WRS2-124033-10895,0.23293088376522064,CHN0076,560.7187296226537
WRS2-124034-02989,0.7847281098365784,CHN0308,125.7771257927592
WRS2-124034-11795,0.20759986340999606,CHN0411,573.6862105174868
WRS2-124034-11795,0.20759986340999606,CHN1077,604.9180410251961
WRS2-124034-13001,0.8610191345214844,CHN0089,447.9528483098173
WRS2-124034-16333,0.7439521551132202,CHN1092,471.36220618122434
WRS2-124034-16989,0.35392245650291443,CHN0091,392.0017547764807
WRS2-124035-00023,0.8015414476394653,CHN0322,334.75228144940894
WRS2-124035-11674,0.30423563718795776,CHN0325,683.2388912042833
WRS2-124036-00219,0.7834171056747437,CHN1245,217.95003342151682
WRS2-124036-00719,0.8458430767059326,CHN0440,658.4514372579303
WRS2-124036-01212,0.8209282755851746,CHN1109,317.1165864017486
WRS2-124036-02499,0.9559511542320251,CHN0744,205.5582995503939
WRS2-124036-04617,0.9077781438827516,CHN0140,517.0905044322236
WRS2-124036-07724,0.9589923024177552,CHN0407,266.1334266858313
WRS2-124036-07989,0.1152394637465477,CHN1214,652.8877965952885
WRS2-124036-10409,0.9154328107833862,CHN1183,418.8160440344301
WRS2-124036-11075,0.9632390141487122,CHN0163,209.00267657880622
WRS2-124036-12682,0.8096670508384705,CHN0704,622.9887795017194
WRS2-124036-13665,0.5052760243415833,CHN1182,426.50673587872046
WRS2-124036-14289,0.35019850730896,CHN1180,604.938165331835
