tile_id,steel_prob,steel_uid,dist_m
WRS2-117031-03167,0.6330534219741821,CHN0010,565.967184669121
WRS2-118029-11462,0.8797931075096129,CHN0009,321.2132758567149
WRS2-118030-11595,0.5907576680183411,CHN0013,218.3304312915941
WRS2-118031-07434,0.8302568197250366,CHN0010,829.7288974708123
WRS2-122032-21456,0.8372097611427307,CHN0005,499.37499213833837
WRS2-122045-01707,0.4583499431610107,CHN0167,670.3800782618118
WRS2-123032-12994,0.11929594725370407,CHN0038,809.2399299608314
WRS2-124034-00017,0.8419655561447144,CHN0042,648.0418289642635
WRS2-124034-00634,0.7214652299880981,CHN0021,391.9957465983014
WRS2-124034-03501,0.897257387638092,CHN0239,674.4027233658711
WRS2-124034-14474,0.12570947408676147,CHN0242,696.0588786387688
WRS2-124035-01110,0.9449433684349059,CHN0239,517.4701682738296
WRS2-124035-05013,0.9334083199501038,CHN0242,273.557276519597
WRS2-124035-07168,0.9445140361785888,CHN0090,389.1490595193887
WRS2-124035-10260,0.8502179980278015,CHN0091,514.0346655497506
WRS2-124036-12058,0.8794062733650208,CHN0084,416.26311078455365
WRS2-124037-01808,0.9251142740249634,CHN0102,226.14683347498476
WRS2-124041-22150,0.8007263541221619,CHN0060,363.54014259801374
WRS2-125034-01355,0.9022425413131714,CHN0228,606.9076095242033
WRS2-125034-01355,0.9022425413131714,CHN0246,606.9076095242033
WRS2-128037-06445,0.5185186266899109,CHN0103,437.22617057467147
WRS2-129039-03879,0.787449061870575,CHN0057,300.7671138667726
WRS2-115028-06018,0.908120095729828,CHN0015,671.8452898424173
WRS2-119032-01330,0.8802936673164368,CHN0020,464.7217839110962
WRS2-119032-12257,0.8509900569915771,CHN0008,709.4855923555108
WRS2-119034-04630,0.5167676210403442,CHN0332,759.9962914439275
WRS2-119038-03762,0.5731513500213623,CHN0116,694.7224718444321
WRS2-119038-13145,0.23182739317417145,CHN0056,252.91344356812186
WRS2-119038-15412,0.2908092737197876,CHN0208,845.0103508951488
WRS2-119041-00328,0.7715588808059692,CHN0176,154.29765622460235
WRS2-119042-01842,0.8616302609443665,CHN0176,471.55353026214266
WRS2-119043-09222,0.5623831152915955,CHN0069,564.7452614935875
WRS2-120027-07627,0.7225086092948914,CHN0004,484.86432148929094
WRS2-120027-07627,0.7225086092948914,CHN0224,539.0258206685658
WRS2-121031-03332,0.8194195628166199,CHN0017,534.8127095625074
WRS2-121032-08869,0.8635498881340027,CHN0215,778.3279490882501
WRS2-121033-01436,0.7711343765258789,CHN0024,546.3894246235917
WRS2-121033-01726,0.8443862199783325,CHN0029,633.5412875293566
WRS2-121034-04535,0.8008722066879272,CHN0096,572.8459407640826
WRS2-122031-03282,0.3033011257648468,CHN0001,812.4882785205001
WRS2-122033-03797,0.8090056777000427,CHN0022,479.29802145008756
WRS2-122033-12092,0.8812519311904907,CHN0288,478.51013805475696
WRS2-122035-01558,0.31842240691185,CHN0088,399.1140013649263
WRS2-122043-00867,0.8622352480888367,CHN0070,358.49095257850576
WRS2-122044-08394,0.09118061512708664,CHN0066,669.5945998654519
WRS2-124034-15797,0.5465285778045654,CHN0097,622.0232840267366
WRS2-124035-04173,0.14525435864925385,CHN0095,252.5931887127156
WRS2-124035-05470,0.8800739645957947,CHN0097,515.5250417069703
WRS2-125035-04735,0.2761982977390289,CHN0086,552.4895485341906
WRS2-126034-04088,0.564632773399353,CHN0039,193.74979505343399
WRS2-127039-01150,0.8720225691795349,CHN0080,385.754438367351
WRS2-127040-11132,0.6449234485626221,CHN0041,579.1059299692492
WRS2-129038-02726,0.9066619873046876,CHN0109,434.3555213873728
WRS2-143029-04265,0.6441882848739624,CHN0014,426.4018836940494
WRS2-143030-08542,0.4052318036556244,CHN0014,684.0394617188259
WRS2-118031-03489,0.9458884596824646,CHN0006,538.5301185657366
WRS2-118031-06100,0.9069169163703918,CHN0011,224.81156964949477
WRS2-118031-12289,0.06710387766361238,CHN0002,829.8792649378422
WRS2-118032-07389,0.9091047644615172,CHN0002,470.9365925106312
WRS2-118038-05564,0.8791751861572266,CHN0104,349.2504887494748
WRS2-118038-09202,0.8597036004066467,CHN0178,163.690564049267
WRS2-118038-09240,0.7019275426864624,CHN0105,529.3765016265277
WRS2-118039-06650,0.8239067792892456,CHN0174,291.8370338647871
WRS2-118039-11674,0.6628137230873108,CHN0051,699.3927038377005
WRS2-118042-01483,0.8112860918045044,CHN0176,319.0697029392716
WRS2-119031-07108,0.9065085649490356,CHN0007,127.07832122003181
WRS2-119031-07307,0.5287249088287354,CHN0012,714.7293329499931
WRS2-119031-09503,0.4132993221282959,CHN0003,796.2270833022169
WRS2-119031-12910,0.8811970353126526,CHN0011,237.70741192355754
WRS2-119031-21146,0.5978478789329529,CHN0002,532.5405739725854
WRS2-119032-11632,0.8869305849075317,CHN0003,843.8039023916368
WRS2-119038-06637,0.41392257809638977,CHN0114,827.2519102237276
WRS2-119038-06814,0.8298748135566711,CHN0107,676.4441330388772
WRS2-119038-13952,0.8219923377037048,CHN0106,358.1206415646941
WRS2-119038-19139,0.8972741365432739,CHN0119,290.2458604744874
WRS2-119038-20901,0.7792908549308777,CHN0232,298.78686118940396
WRS2-120032-09356,0.8730865716934204,CHN0020,613.7864576971367
WRS2-120033-03323,0.11576501280069353,CHN0019,304.4482670437738
WRS2-120035-07845,0.6382051706314087,CHN0092,444.5461843492196
WRS2-120036-02112,0.5837916135787964,CHN0235,625.538889697669
WRS2-120037-03223,0.9304643869400024,CHN0100,660.3387782832428
WRS2-120038-23240,0.8790567517280579,CHN0115,581.2289063529012
WRS2-121032-00951,0.7784794569015503,CHN0034,477.5805860538782
WRS2-121035-11536,0.9228977560997008,CHN0094,635.72910408793
WRS2-121035-16778,0.4198698699474335,CHN0096,397.3216967645979
WRS2-121035-20156,0.8499773144721985,CHN0093,189.79070700602915
WRS2-122032-01891,0.919638454914093,CHN0030,661.6223293820858
WRS2-122032-01953,0.8914756774902344,CHN0288,345.88527040151024
WRS2-122032-02198,0.9019958972930908,CHN0036,267.31032261538195
WRS2-122032-02198,0.9019958972930908,CHN0217,205.5594698771731
WRS2-122032-02872,0.12200480699539185,CHN0038,550.5924373199463
WRS2-122032-05939,0.949340283870697,CHN0215,733.9564794534124
WRS2-122032-10016,0.866480827331543,CHN0213,550.9683302474439
WRS2-122032-11368,0.6551682353019714,CHN0027,535.7770783655712
WRS2-122032-11964,0.8480708599090576,CHN0032,524.502163621767
WRS2-122032-21538,0.8711599111557007,CHN0216,728.2545191667633
WRS2-122032-22860,0.7732647657394409,CHN0037,474.77853732631326
WRS2-122033-04288,0.6094568371772766,CHN0026,643.5539876037379
WRS2-122033-04288,0.6094568371772766,CHN0209,643.5539876037379
WRS2-122033-11970,0.9204924702644348,CHN0032,646.8878610287655
WRS2-122034-17220,0.8066153526306152,CHN0022,550.530884487589
WRS2-122035-06751,0.8926399350166321,CHN0093,453.9714947866168
WRS2-122035-17060,0.9547808170318604,CHN0286,438.04957094743844
WRS2-122035-22671,0.9469478130340576,CHN0236,631.9306934451511
WRS2-123031-10950,0.9459394216537476,CHN0005,534.954907856824
WRS2-123032-09914,0.6366967558860779,CHN0005,916.0870122039325
WRS2-124032-05901,0.946298599243164,CHN0018,590.5563646712179
WRS2-124033-02835,0.8995430469512941,CHN0021,559.1957894400647
WRS2-124045-00914,0.19671307504177094,CHN0122,621.8918687176612
WRS2-124045-04158,0.8286375403404236,CHN0202,616.0830755031091
WRS2-126034-01312,0.8371886014938354,CHN0101,609.3683018522581
WRS2-126035-02473,0.7286873459815979,CHN0086,595.2345403366567
WRS2-126035-12001,0.5459073781967163,CHN0089,500.61393828160533
WRS2-127032-15963,0.8552171587944031,CHN0016,663.6063923831866
WRS2-127038-05646,0.8849992752075195,CHN0080,580.6185453604276
WRS2-127039-03090,0.20156416296958926,CHN0041,464.284666248817
WRS2-128032-05447,0.8998560905456543,CHN0016,427.200296262015
