tile_id,scene_cloud_pnt,scene_group,max_cloud_cover,cement_prob,cement_uid,dist_m
MGRS-44TPM-0294,0.512785,1,5,0.4950421452522278,CHN1079,915.6047643561722
MGRS-45TVG-0022,0.48758,1,5,0.1555444896221161,CHN0685,1741.6857155560333
MGRS-45TWJ-0287,0.473045,1,5,0.6156815886497498,CHN0687,456.50413140098624
MGRS-45TWJ-0409,0.473045,1,5,0.10056968778371812,CHN0691,818.6975573201381
MGRS-46TEN-0208,0.045159,1,5,0.13171355426311493,CHN0684,2030.1525129862623
MGRS-46TEN-0405,0.045159,1,5,0.0956861823797226,CHN0951,1795.0059280187459
MGRS-46TFN-0243,0.044633,1,5,0.2629817426204681,CHN0951,1224.8685152730848
MGRS-47QNG-0836,4.73996114730835,1,5,0.1223273053765297,CHN0454,1287.5889383057338
MGRS-47QPF-0722,0.6767460107803345,1,5,0.05174475908279419,CHN0680,1483.1743365869938
MGRS-47RLH-0193,0.7314590215682983,1,5,0.05281166359782219,CHN1222,1949.9921672427188
MGRS-47RMH-0341,3.994786024093628,1,5,0.9738811254501344,CHN1101,570.818643535393
MGRS-47RPJ-0443,1.061732,1,5,0.04225857555866242,CHN1252,1288.77833431537
MGRS-47RPJ-0871,1.061732,1,5,0.044188950210809715,CHN0903,1687.0900526291146
MGRS-47RPK-0258,0.150013,1,5,0.7227571606636047,CHN0908,694.9192126487812
MGRS-47RQH-0288,0.09790600091218947,1,5,0.02938386611640453,CHN0967,1345.4835685141659
MGRS-47RQK-0318,0.370234,1,5,0.02353869378566742,CHN0466,1267.5616047643016
MGRS-47RQK-0449,0.370234,1,5,0.07650630176067352,CHN1119,1253.0481949687462
MGRS-47RRH-0047,0.2629599869251251,1,5,0.17110806703567505,CHN0988,1005.8757075533028
MGRS-47RRH-0047,0.2629599869251251,1,5,0.17110806703567505,CHN0463,1007.4346382829137
MGRS-47RRH-0235,0.2629599869251251,1,5,0.5633728504180908,CHN1233,1678.5232761892805
MGRS-47RRH-0430,0.2629599869251251,1,5,0.40721040964126587,CHN0448,1044.188522759084
MGRS-47RRH-0444,0.2629599869251251,1,5,0.4322859048843384,CHN0991,579.5371993099702
MGRS-47RRH-0645,0.2629599869251251,1,5,0.10745219886302948,CHN0453,1859.3220017048532
MGRS-47RRJ-0624,0.2651129961013794,1,5,0.3619675934314728,CHN0988,1813.933721373128
MGRS-47RRJ-0624,0.2651129961013794,1,5,0.3619675934314728,CHN0463,1804.979917107315
MGRS-47SQA-0071,2.064669,1,5,0.371696799993515,CHN0556,1722.1320873995414
MGRS-48QUM-0502,2.8952040672302246,1,5,0.8463271260261536,CHN1194,739.2607606244152
MGRS-48QUM-0541,2.8952040672302246,1,5,0.19435173273086548,CHN0455,1971.3512511022589
MGRS-48RTN-0078,0.3012650012969971,1,5,0.8204669356346129,CHN0988,742.4490780380498
MGRS-48RTN-0078,0.3012650012969971,1,5,0.8204669356346129,CHN0463,736.8956545335134
MGRS-48RTN-0265,0.3012650012969971,1,5,0.9717692136764526,CHN1233,310.47345810233764
MGRS-48RTN-0463,0.3012650012969971,1,5,0.22959740459918976,CHN0448,1000.5879189472128
MGRS-48RTN-0477,0.3012650012969971,1,5,0.9448893070220948,CHN0991,825.9384602957305
MGRS-48RTN-0674,0.3012650012969971,1,5,0.051739711314439774,CHN0453,1963.367200034068
MGRS-48RTP-0659,0.2614479959011078,1,5,0.09151051193475723,CHN0988,1236.19443335117
MGRS-48RTP-0659,0.2614479959011078,1,5,0.09151051193475723,CHN0463,1217.979817143788
MGRS-48RTQ-0503,0.4665690064430237,1,5,0.046193357557058334,CHN0661,1604.587663586875
MGRS-48RTT-0236,4.133281230926514,1,5,0.07551336288452147,CHN0662,1696.9614207914606
MGRS-48RTU-0210,2.0146450000000002,1,5,0.3269495069980621,CHN0662,2299.1539885190896
MGRS-48RTU-0577,2.0146450000000002,1,5,0.045413628220558167,CHN0676,1468.455377436258
MGRS-48RUN-0233,0.7885919809341431,1,5,0.5729275941848755,CHN0833,657.4472457358582
MGRS-48RUN-0391,0.7885919809341431,1,5,0.9581669569015504,CHN1078,411.96690019334545
MGRS-48RUT-0365,0.389805,1,5,0.2695402204990387,CHN0643,1490.7628370502887
MGRS-48RUT-0392,0.389805,1,5,0.2530297040939331,CHN0654,997.8490750874882
MGRS-48RUT-0393,0.389805,1,5,0.20595455169677732,CHN0644,1265.6569316592816
MGRS-48RUT-0686,0.389805,1,5,0.07285815477371216,CHN0653,2049.1788622961344
MGRS-48RUV-0419,3.972497,1,5,0.031916040927171714,CHN0451,1458.3839420459128
MGRS-48RUV-0475,3.972497,1,5,0.08545909076929092,CHN0138,1728.594720181193
MGRS-48RUV-0502,3.972497,1,5,0.04127591848373413,CHN0073,1843.4354787386906
MGRS-48RVN-0127,0.689021,1,5,0.9529183506965636,CHN0998,309.6356717628327
MGRS-48RVQ-0585,0.05328100174665451,1,5,0.20209693908691406,CHN0465,681.2307319542117
MGRS-48RVQ-0619,0.05328100174665451,1,5,0.09117960184812546,CHN1154,1325.6196544587747
MGRS-48RVQ-1028,0.05328100174665451,1,5,0.050779227167367935,CHN0805,952.0939383800176
MGRS-48RVS-0401,0.875857,1,5,0.05461138486862183,CHN0705,1422.532656001364
MGRS-48RVS-0618,0.875857,1,5,0.18878686428070068,CHN0464,1068.2714723190022
MGRS-48RVS-0622,0.875857,1,5,0.04921592026948929,CHN0885,1166.22980750592
MGRS-48RVS-0992,0.875857,1,5,0.06140224635601044,CHN1255,1645.23707707443
