scene_id,tile_cnt_tot,tile_cnt_2020,tile_cnt_2019,tile_cnt_2018
WRS2-124034,18654,10562,4326,3123
WRS2-124035,20798,0,10997,4557
WRS2-124036,24653,0,5771,17475
WRS2-124037,22075,0,0,21382
WRS2-124038,20217,0,0,19865
WRS2-124039,23353,0,0,22765
WRS2-124040,22787,0,0,21076
WRS2-124041,23841,0,0,18683
WRS2-124042,20530,0,0,15848
WRS2-124043,20554,0,0,13367
WRS2-124044,21299,13641,2829,4083
WRS2-124045,15714,5367,2781,5659
WRS2-124046,9716,0,0,3549
WRS2-124047,18660,0,0,12093
WRS2-124048,8,0,0,0
WRS2-125025,1818,0,0,0
WRS2-125026,4137,1709,388,0
WRS2-125027,805,0,0,0
WRS2-125028,752,746,0,0
WRS2-125029,3553,3321,2,1
WRS2-125030,2938,2181,12,3
WRS2-125031,7692,4450,0,15
WRS2-125032,17071,0,0,11328
WRS2-125033,16704,9008,563,3870
WRS2-125034,19161,982,399,1556
WRS2-125035,17942,0,656,1643
WRS2-125036,17915,188,881,451
WRS2-125037,19260,3848,4671,647
WRS2-125038,17249,0,0,8381
WRS2-125039,18878,0,0,0
WRS2-125040,20323,0,0,0
WRS2-125041,23452,0,0,0
WRS2-125042,21411,0,0,0
WRS2-125043,19984,0,0,0
WRS2-125044,19463,0,0,0
WRS2-125045,13920,0,0,0
WRS2-125046,639,0,0,524
WRS2-125047,2239,1828,261,99
