scene_id,tile_cnt_sg1,tile_cnt_sg2
MGRS-46RBR,0,0
MGRS-46RBS,0,0
MGRS-46RBT,242,0
MGRS-46RBU,50,0
MGRS-46RBV,104,0
MGRS-46RCR,0,0
MGRS-46RCS,0,0
MGRS-46RCT,0,0
MGRS-46RCU,781,0
MGRS-46RCV,411,0
MGRS-46RDR,0,0
MGRS-46RDS,0,0
MGRS-46RDT,0,0
MGRS-46RDU,0,0
MGRS-46RDV,1,0
MGRS-46RES,0,0
MGRS-46RET,0,0
MGRS-46REU,0,0
MGRS-46REV,215,0
MGRS-46RFS,0,0
MGRS-46RFT,0,0
MGRS-46RFU,0,0
MGRS-46RFV,0,0
MGRS-46RGT,0,0
MGRS-46RGU,127,7
MGRS-46RGV,1,0
MGRS-46SBA,350,0
MGRS-46SBB,0,0
MGRS-46SBC,8,0
MGRS-46SBF,20,0
MGRS-46SBG,305,0
MGRS-46SBH,366,0
MGRS-46SBJ,0,0
MGRS-46SCA,435,64
MGRS-46SCB,203,38
MGRS-46SCC,102,9
MGRS-46SCD,0,0
MGRS-46SCF,53,105
MGRS-46SCG,46,0
MGRS-46SCH,0,0
MGRS-46SDA,14,1
MGRS-46SDB,161,51
MGRS-46SDC,627,6
MGRS-46SDD,379,34
MGRS-46SDE,35,0
MGRS-46SDF,90,4
MGRS-46SDG,365,11
MGRS-46SEA,104,0
MGRS-46SEB,9,397
MGRS-46SEC,301,33
MGRS-46SED,7,256
MGRS-46SEE,606,38
MGRS-46SEF,436,3
MGRS-46SEG,259,18
MGRS-46SEH,195,0
MGRS-46SEJ,92,7
MGRS-46SFA,308,0
MGRS-46SFB,717,107
MGRS-46SFC,437,18
MGRS-46SFD,355,470
MGRS-46SFE,49,234
MGRS-46SFF,580,14
MGRS-46SFG,187,15
MGRS-46SFH,685,9
MGRS-46SFJ,517,21
MGRS-46SGA,743,12
MGRS-46SGB,618,0
MGRS-46SGC,4,0
MGRS-46SGD,698,6
MGRS-46SGE,198,493
MGRS-46SGF,328,10
MGRS-46SGG,699,42
MGRS-46SGH,208,11
MGRS-46SGJ,104,1
MGRS-46TBK,11,1
MGRS-46TBL,82,2
