scene_id,tile_cnt_sg1,tile_cnt_sg2
MGRS-51TVK,4,0
MGRS-51TVL,139,19
MGRS-51TVM,346,9
MGRS-51TVN,262,33
MGRS-51TWE,352,686
MGRS-51TWF,144,820
MGRS-51TWG,40,10
MGRS-51TWH,863,3
MGRS-51TWJ,0,514
MGRS-51TWK,472,15
MGRS-51TWL,702,7
MGRS-51TWM,556,3
MGRS-51TWN,59,5
MGRS-51TXE,453,32
MGRS-51TXF,817,154
MGRS-51TXG,758,15
MGRS-51TXH,309,356
MGRS-51TXJ,792,47
MGRS-51TXK,285,51
MGRS-51TXL,32,5
MGRS-51TXM,279,20
MGRS-51TXN,365,23
MGRS-51TYE,2,0
MGRS-51TYF,3,1
MGRS-51TYG,78,3
MGRS-51TYH,306,34
MGRS-51TYJ,648,41
MGRS-51TYK,872,33
MGRS-51TYL,885,8
MGRS-51TYM,303,142
MGRS-51TYN,659,8
MGRS-51UUP,395,1
MGRS-51UUQ,314,11
MGRS-51UUR,0,0
MGRS-51UUS,641,34
MGRS-51UUT,0,55
MGRS-51UUU,54,0
MGRS-51UVP,517,0
MGRS-51UVQ,304,0
MGRS-51UVR,230,8
MGRS-51UVS,179,137
MGRS-51UVT,427,76
MGRS-51UVU,566,10
MGRS-51UWP,74,182
MGRS-51UWQ,50,20
MGRS-51UWR,346,271
MGRS-51UWS,536,47
MGRS-51UWT,753,4
MGRS-51UWU,5,0
MGRS-51UXP,741,34
MGRS-51UXQ,688,11
MGRS-51UXR,772,58
MGRS-51UXS,0,377
MGRS-51UXT,122,15
MGRS-51UXU,339,40
MGRS-51UYP,21,16
MGRS-51UYQ,252,259
MGRS-51UYR,199,62
MGRS-51UYS,288,66
MGRS-51UYT,191,5
MGRS-51UYU,14,6
MGRS-52TBL,1,1
MGRS-52TBM,80,11
MGRS-52TCL,74,0
MGRS-52TCM,1013,0
MGRS-52TCN,278,28
MGRS-52TCP,0,821
MGRS-52TCQ,41,0
MGRS-52TCR,491,27
MGRS-52TCS,273,188
MGRS-52TCT,703,34
MGRS-52TDL,0,0
MGRS-52TDM,399,6
MGRS-52TDN,472,73
MGRS-52TDP,63,559
MGRS-52TDQ,888,71
MGRS-52TDR,895,4
MGRS-52TDS,349,8
MGRS-52TDT,80,114
MGRS-52TEM,204,2
MGRS-52TEN,877,32
MGRS-52TEP,0,0
MGRS-52TEQ,53,78
MGRS-52TER,172,328
MGRS-52TES,562,297
MGRS-52TET,777,24
MGRS-52TFN,394,0
MGRS-52TFP,622,9
MGRS-52TFQ,544,19
MGRS-52TFR,593,45
MGRS-52TFS,311,438
MGRS-52TFT,14,10
MGRS-52TGR,196,116
MGRS-52TGS,693,16
MGRS-52TGT,693,7
MGRS-52UCA,59,244
MGRS-52UCB,91,0
MGRS-52UCC,153,0
MGRS-52UCD,0,0
MGRS-52UCU,342,193
MGRS-52UCV,0,0
MGRS-52UDA,44,0
MGRS-52UDU,46,246
MGRS-52UDV,308,2
MGRS-52UEU,410,12
MGRS-52UEV,186,0
MGRS-52UFU,100,0
MGRS-52UGU,155,0
MGRS-53TLL,368,0
MGRS-53TLM,572,0
MGRS-53TLN,722,8
MGRS-53TML,9,0
MGRS-53TMM,85,11
MGRS-53TMN,234,7
MGRS-53ULP,127,0
MGRS-53UMP,440,0
