scene_id,tile_cnt_tot,tile_cnt_2020,tile_cnt_2019,tile_cnt_2018
WRS2-126026,940,0,421,0
WRS2-126027,266,0,164,0
WRS2-126029,2279,0,0,0
WRS2-126030,5831,0,0,0
WRS2-126031,6044,5119,0,0
WRS2-126032,17130,16187,1,43
WRS2-126033,18110,16940,55,261
WRS2-126034,16074,11162,3543,499
WRS2-126035,15564,8164,947,167
WRS2-126036,20614,5912,110,241
WRS2-126037,16457,4013,58,749
WRS2-126038,16930,661,0,0
WRS2-126039,18320,0,0,0
WRS2-126040,17245,0,0,0
WRS2-126041,19498,0,0,0
WRS2-126042,18938,0,0,0
WRS2-126043,14407,0,0,0
WRS2-126044,15901,0,0,0
WRS2-126045,8098,0,0,1421
WRS2-127029,876,835,0,17
WRS2-127030,2554,0,0,2478
WRS2-127031,3378,3053,0,251
WRS2-127032,19502,17051,40,1936
WRS2-127033,18156,16093,423,1067
WRS2-127034,15718,11900,489,2504
WRS2-127035,11537,5751,2550,1647
WRS2-127036,20493,11721,7593,572
WRS2-127037,20057,17008,707,0
WRS2-127038,23728,20018,1615,0
WRS2-127039,23332,20201,966,0
WRS2-127040,19508,0,14201,0
WRS2-127041,22465,0,0,0
WRS2-127042,19551,0,0,0
WRS2-127043,18812,0,0,0
WRS2-127044,7720,0,0,0
WRS2-128030,176,20,115,27
WRS2-128031,5840,1690,2389,1097
WRS2-128032,13084,5946,4734,524
WRS2-128033,9140,1079,4531,1176
WRS2-128034,9197,449,502,915
WRS2-128035,10914,0,0,494
WRS2-128036,20037,0,0,2542
WRS2-128037,21210,0,0,1209
WRS2-128038,25160,0,0,12392
WRS2-128039,27074,0,0,0
WRS2-128040,24918,0,0,17897
WRS2-128041,20807,0,17369,2669
WRS2-128042,21164,9030,8458,2109
WRS2-128043,15489,6038,7877,659
WRS2-128044,10158,4002,4525,497
WRS2-128045,175,135,31,5
WRS2-129030,138,0,0,0
WRS2-129031,4891,112,1,98
WRS2-129032,7497,392,1,0
WRS2-129033,12227,0,0,0
WRS2-129034,13730,0,0,0
WRS2-129035,8904,177,1,0
WRS2-129036,18064,0,0,0
WRS2-129037,18033,0,4346,2740
WRS2-129038,22971,0,7482,11063
WRS2-129039,26106,0,0,18383
WRS2-129040,23818,0,0,17385
WRS2-129041,18196,0,0,9034
WRS2-129042,16736,9086,488,1371
WRS2-129043,16439,4925,150,380
WRS2-129044,13304,4593,4,54
WRS2-129045,2884,1092,0,0
WRS2-129046,64,46,0,0
WRS2-130030,141,136,0,5
WRS2-130031,1119,582,226,275
WRS2-130032,6824,2747,1934,1128
WRS2-130033,6245,5349,670,129
