scene_id,tile_cnt_tot,tile_cnt_2020,tile_cnt_2019,tile_cnt_2018
WRS2-130034,10523,7452,2518,2
WRS2-130035,15963,4149,7044,84
WRS2-130036,13581,3989,4435,106
WRS2-130037,12075,6293,3315,152
WRS2-130038,13941,11608,1572,301
WRS2-130039,18302,17453,234,128
WRS2-130040,15503,13989,181,24
WRS2-130041,16636,15684,5,39
WRS2-130042,17122,16566,75,184
WRS2-130043,17853,16673,293,502
WRS2-130044,15975,14077,279,600
WRS2-130045,9244,8689,106,322
WRS2-131031,2804,860,1235,618
WRS2-131032,1944,647,808,320
WRS2-131033,258,4,0,27
WRS2-131034,10495,4639,2359,731
WRS2-131035,13560,6858,2308,3537
WRS2-131036,7839,3117,958,3540
WRS2-131037,14100,11059,1960,690
WRS2-131038,11947,9971,1490,260
WRS2-131039,12174,9272,2217,403
WRS2-131040,12405,10562,1270,280
WRS2-131041,13162,10992,1283,658
WRS2-131042,15961,14813,715,410
WRS2-131043,18103,16524,1224,328
WRS2-131044,11634,10494,825,274
WRS2-131045,1932,1845,38,45
WRS2-132031,3054,2376,570,53
WRS2-132033,4521,2722,0,1537
WRS2-132034,12713,3131,213,6987
WRS2-132035,8551,3363,134,4216
WRS2-132036,10332,6568,720,2246
WRS2-132037,12039,8682,648,1624
WRS2-132038,11602,10049,723,547
WRS2-132039,12646,9921,1983,542
WRS2-132040,13375,9394,2972,694
WRS2-132041,11404,9245,1178,452
WRS2-132042,8932,8364,203,127
WRS2-132043,11435,10939,187,133
WRS2-132044,1896,1855,2,10
WRS2-133030,477,387,74,15
WRS2-133031,6589,6168,135,202
WRS2-133032,703,481,59,152
WRS2-133033,7930,5583,44,65
WRS2-133034,11380,6333,54,396
WRS2-133035,6049,4916,209,352
WRS2-133036,11310,9951,751,472
WRS2-133037,10282,6423,3355,304
WRS2-133038,10985,7456,1009,0
WRS2-133039,15327,12013,415,1835
WRS2-133040,17399,13086,0,1939
WRS2-133041,2569,0,166,887
WRS2-133042,318,286,22,10
WRS2-133043,1802,1510,183,94
WRS2-133044,6,6,0,0
WRS2-134030,1407,1100,53,4
WRS2-134031,10313,5526,2563,682
WRS2-134032,5812,3728,1031,177
WRS2-134033,10181,7861,17,16
WRS2-134034,6825,5598,10,4
WRS2-134035,6652,3155,488,463
WRS2-134036,8872,8046,303,112
WRS2-134037,11211,4799,5328,661
WRS2-134038,11290,6333,3684,906
WRS2-134039,11687,4491,3827,1347
WRS2-134040,9532,1434,1071,343
WRS2-135030,122,106,0,14
WRS2-135031,6365,5510,0,742
WRS2-135032,8382,7314,155,158
WRS2-135033,5447,4104,683,163
WRS2-135034,4528,2836,283,111
WRS2-135035,7050,1305,2781,771
WRS2-135036,12753,8580,3618,0
WRS2-135037,13189,8461,3104,560
WRS2-135038,11398,6922,3543,397
WRS2-135039,12506,0,6817,1448
WRS2-135040,5481,1873,477,641
WRS2-136030,659,551,36,21
WRS2-136031,3806,2192,417,223
WRS2-136032,6285,1999,1,3160
WRS2-136033,1956,280,89,890
WRS2-136034,8270,6613,300,675
WRS2-136035,8552,5761,323,1281
WRS2-136036,10193,4106,360,2858
WRS2-136037,9966,5358,288,2483
WRS2-136038,7064,3845,1327,922
WRS2-136039,8474,3843,3901,324
WRS2-136040,9072,5058,2445,883
WRS2-136041,1039,364,13,474
WRS2-137030,6180,5975,9,14
WRS2-137031,8954,8720,30,77
WRS2-137032,7447,4151,334,2463
WRS2-137033,6686,3230,176,1063
WRS2-137034,7222,2720,352,2486
WRS2-137035,8908,5526,777,2006
WRS2-137036,7926,5258,1996,235
WRS2-137037,5523,4688,303,384
WRS2-137038,7831,6656,443,576
WRS2-137039,11038,9672,719,499
WRS2-137040,10639,9577,399,485
WRS2-137041,4247,1811,549,1317
WRS2-138029,1048,872,0,0
WRS2-138030,7229,3765,2494,348
WRS2-138031,7415,2518,2635,1103
WRS2-138032,1574,47,9,0
WRS2-138033,664,27,9,0
WRS2-138034,4611,1151,36,0
WRS2-138035,1103,653,74,32
WRS2-138036,4883,2064,143,1713
WRS2-138037,8049,4092,1030,2371
WRS2-138038,6413,3484,2147,578
WRS2-138039,8021,6709,873,395
WRS2-138040,10319,9121,694,324
WRS2-138041,1840,999,236,389
WRS2-139030,4797,1671,3066,34
WRS2-139031,3902,2618,960,119
WRS2-139032,1686,1234,271,12
WRS2-139033,1516,641,425,158
WRS2-139034,5387,2402,2261,257
WRS2-139035,1227,809,171,67
WRS2-139036,955,527,215,56
WRS2-139037,2832,0,2229,187
WRS2-139038,4061,3633,271,112
WRS2-139039,4847,2874,1505,431
WRS2-139040,9329,6955,1630,673
WRS2-139041,3085,2240,142,348
WRS2-140028,3,0,0,2
WRS2-140030,3855,0,3801,0
WRS2-140031,1975,917,1042,15
WRS2-140032,1823,1102,654,59
WRS2-140033,5412,3322,541,808
WRS2-140034,3511,1852,747,559
WRS2-140035,1157,513,202,298
WRS2-140036,1000,0,830,91
WRS2-140037,1261,703,350,151
WRS2-140038,1609,1336,179,68
WRS2-140039,3598,3397,104,84
WRS2-140040,8502,7943,108,307
WRS2-140041,2460,601,275,518
WRS2-141027,1825,763,56,55
WRS2-141028,4103,3134,419,110
WRS2-141029,2763,2154,45,156
WRS2-141030,4461,4177,2,60
WRS2-141032,5575,3786,8,19
WRS2-141033,6915,5290,0,6
WRS2-141034,1062,323,0,0
WRS2-141035,88,35,0,0
WRS2-141036,700,0,629,53
WRS2-141037,1358,0,1146,175
WRS2-141038,3083,2137,458,437
WRS2-141039,3435,2766,442,191
WRS2-141040,8139,6376,964,327
WRS2-141041,1117,308,321,110
WRS2-142027,7928,0,5545,491
WRS2-142028,6095,0,4054,29
WRS2-142029,5449,1583,3156,510
WRS2-142030,9414,2555,5201,181
WRS2-142031,4965,2349,1981,85
WRS2-142032,8354,2726,3930,1185
WRS2-142033,2081,1156,538,196
WRS2-142034,2478,1387,282,220
WRS2-142035,724,206,11,480
WRS2-142036,1415,1222,21,140
WRS2-142037,1241,1144,32,45
WRS2-142038,1435,1116,115,118
WRS2-142039,6297,5153,645,326
WRS2-142040,5953,4416,793,509
WRS2-143026,1530,218,29,140
WRS2-143027,10008,7483,719,316
WRS2-143028,2952,1364,1359,104
WRS2-143029,5828,840,737,569
WRS2-143030,8991,2799,1970,899
WRS2-143031,11178,4008,5113,458
WRS2-143032,2692,1156,768,510
WRS2-143033,568,384,48,117
WRS2-143034,2565,1206,534,214
WRS2-143035,2412,1845,197,165
WRS2-143036,689,569,49,49
WRS2-143037,1125,965,11,90
WRS2-143038,1962,1705,111,99
WRS2-143039,9789,9208,262,121
WRS2-143040,494,301,158,4
WRS2-144026,5630,1953,378,1767
WRS2-144027,7521,5219,1344,691
WRS2-144028,4917,3775,511,289
WRS2-144029,7134,5163,0,1513
WRS2-144030,6531,1043,57,1561
WRS2-144031,6384,4428,0,865
WRS2-144032,1122,920,0,194
WRS2-144033,289,241,0,24
WRS2-144034,2342,836,170,163
WRS2-144035,2209,1205,158,257
WRS2-144036,1646,1164,357,86
WRS2-144037,2723,2408,127,135
WRS2-144038,6431,3817,1879,543
WRS2-144039,7510,4823,1492,776
WRS2-145026,2992,891,0,98
WRS2-145027,745,364,0,2
WRS2-145028,5422,0,0,3722
WRS2-145029,6075,2351,6,2690
WRS2-145030,7245,441,12,317
WRS2-145031,6632,1132,23,3485
WRS2-145032,933,0,0,611
WRS2-145033,247,0,0,75
WRS2-145034,1683,0,0,727
WRS2-145035,3972,439,114,2013
WRS2-145036,2064,1562,50,261
WRS2-145037,5876,4269,509,628
WRS2-145038,7488,5666,711,482
WRS2-145039,3271,1908,450,284
WRS2-146027,3180,0,0,1591
WRS2-146028,4323,3809,390,0
WRS2-146029,7976,6699,571,0
WRS2-146030,8823,6957,953,17
WRS2-146031,7254,1920,4904,6
WRS2-146032,4034,350,3096,65
WRS2-146033,109,64,33,0
WRS2-146034,4712,1645,442,32
WRS2-146035,4871,1604,174,182
WRS2-146036,4869,3754,571,0
WRS2-146037,4734,2411,535,0
WRS2-146038,4672,1672,414,0
WRS2-147027,1430,0,49,0
WRS2-147028,862,755,3,0
WRS2-147029,5319,57,911,140
WRS2-147030,3875,1461,111,0
WRS2-147031,4646,926,1353,1
WRS2-147032,10307,65,2947,44
WRS2-147033,1827,7,208,0
WRS2-147034,5790,121,70,1631
WRS2-147035,9806,3588,787,4135
WRS2-147036,2881,1363,439,802
WRS2-148029,466,369,76,10
WRS2-148031,2915,414,1296,123
WRS2-148032,9428,2188,4333,1241
WRS2-148033,6375,1502,740,1809
WRS2-148034,7969,3223,1548,1150
WRS2-148035,7213,5068,1245,262
WRS2-149031,1192,120,268,111
WRS2-149032,7124,4501,374,412
WRS2-149033,5849,5736,79,18
WRS2-149034,3923,3059,98,437
WRS2-149035,1176,667,13,147
WRS2-150032,181,0,0,0
