index,area_sqkm_tot,area_sqkm_sg1,area_sqkm_sg2
302,646.0735582054599,0.0,646.4797900327836
303,4063.875964399525,800.8999183581317,0.17801303446336836
304,872.3338244760457,872.3338244760457,0.0
305,343.1476750729194,343.1476750729194,0.0
306,343.14767507289554,0.0,0.0
307,949.6629327738541,949.6629327738541,0.0
308,570.0306985835898,570.0306985835898,0.0
309,343.5229731276095,343.5229731276095,0.0
310,647.4930394532995,647.4930394532995,0.0
311,2439.374528602548,0.0,0.0
312,6354.722821127256,5445.581118757998,0.0
313,343.9001401200933,0.0,0.0
314,343.90014012009317,0.0,0.0
315,343.9001401200907,0.0,0.0
316,1101.5057320443016,0.0,0.0
317,1023.1497767022861,0.0,0.0
318,1483.7475666663502,0.0,0.0
319,344.27918442252434,344.27918442252434,0.0
320,648.2080830395606,0.0,0.0
321,1022.6383161340907,1022.6383161340897,0.0
322,571.9176335045271,256.03082960007947,316.0403110005485
323,571.9176335052782,571.9176335052782,0.0
324,572.5528795359444,0.0,0.0
325,345.0429387638712,0.0,0.0
326,345.04293876387186,345.04293876387186,0.0
327,1334.2429179747126,1334.2429179746946,0.0
328,345.4276658622541,345.4276658622541,0.0
329,2017.447789358973,0.0,0.0
330,800.9549001801497,0.0,0.0
331,799.0590834512253,799.0590834512253,0.0
332,8411.363108807021,3708.426316379353,9.16452899584232
333,345.8143043929316,166.8458098688507,0.37116163176837486
334,345.81430439293337,170.20516151877763,175.21569636172612
335,879.7894792992267,748.0528374071158,0.18490944144896906
336,1335.7841083044575,1335.78410823134,0.0
337,1485.4223231545334,1485.4223231545154,0.0
338,6714.809994588295,2272.014237124283,50.42015204134111
339,1031.0271330568248,61.362686006720864,197.03505268092314
340,346.9857758156305,346.98577579703925,0.0
341,2100.889792903657,2100.889792856979,0.0
342,346.9857758156565,177.81629984736622,169.40142675716248
343,13608.646247639264,10274.661563936657,609.06895887894
344,2566.015798033577,419.48867549657683,2147.0833903176695
345,1566.2309598303855,1566.2309598117413,0.0
346,347.3801476413224,0.0,347.65158003288155
347,2713.2852350814733,2179.1648469666384,0.631029221736072
348,2410.3726284851678,309.7392807088927,0.29555169598805264
349,577.4194108103196,439.56035652229934,23.078825512088745
350,805.1643345334418,805.1643344603817,0.0
351,348.174766953754,348.174766953754,0.0
352,348.17476695378616,0.0,0.0
353,807.3246973740953,807.3246972355942,0.0
354,13321.535346192804,12912.190308240431,237.1304074848839
355,2486.108610790513,0.0,288.3733793732868
356,578.7477947972731,93.85467803175072,484.8571091127043
357,809.1874398165495,161.32455703633866,0.0
358,2721.978296056181,2494.2202089558104,0.01147388308899006
359,887.1748087025015,159.5829378214451,726.7688865021136
360,809.1855140688066,809.1855140688066,0.0
361,1269.3937471611493,0.0,0.0
362,348.97728097638986,348.97728097638986,0.0
363,348.97728097641937,348.97728097641937,0.0
364,1644.5939891432324,1459.1185536735172,185.34959409518638
365,888.2039169979915,0.0,0.0
366,811.0648070606923,811.0648070606923,0.0
367,580.4262851641655,580.4262851641655,0.0
368,2114.315649750581,0.0,0.0
369,349.7877632675863,349.7877632675863,0.0
370,349.78776326758475,349.78776326758475,0.0
371,10434.338927558854,5654.55000502492,4781.212476969664
372,349.78776326761573,349.78776326761573,0.0
373,1042.9191463618884,1042.9191463618884,0.0
374,350.196015806156,0.0,0.0
375,1352.0928613131207,604.0152515178246,0.20608731233852198
376,581.1037259914068,387.0846952747043,0.1934852793934058
377,581.1037259913827,0.0,0.0
378,1814.5208249140626,0.0,0.0
379,1881.6852752386794,1881.6852752386794,0.0
380,350.6062885038829,0.0,0.0
381,350.60628850385893,70.69325013818772,0.0
382,813.9187691026299,813.9187691026299,0.0
383,2827.2011900655357,1970.9847875334453,0.5020166277813946
384,351.01859087342126,351.01859087342126,0.0
385,351.01859087342604,351.01859087342604,0.0
386,660.9214456615854,660.9214456615854,0.0
387,582.8125924700396,449.1107824067547,134.06091401715742
