tile_id,scene_cloud_pnt,scene_group,max_cloud_cover,steel_prob,steel_uid,dist_m
MGRS-45TWJ-0338,0.473045,1,5,0.09278028458356856,CHN0014,1863.719296716591
MGRS-47RQK-0384,0.370234,1,5,0.8722352981567383,CHN0075,1206.9803468973914
MGRS-47RRH-0321,0.2629599869251251,1,5,0.7944726347923279,CHN0072,308.100001768967
MGRS-47RRH-0393,0.2629599869251251,1,5,0.11789446324110033,CHN0071,1780.2850712318511
MGRS-47RRH-0468,0.2629599869251251,1,5,0.8896870017051697,CHN0187,855.3676381469716
MGRS-47TME-0314,0.25458800000000004,1,5,0.18223387002944946,CHN0033,2046.8727743719733
MGRS-48RTN-0316,0.3012650012969971,1,5,0.13702045381069186,CHN0072,1380.614214390739
MGRS-48RTN-0425,0.3012650012969971,1,5,0.6306432485580444,CHN0071,944.09986520914
MGRS-48RTN-0501,0.3012650012969971,1,5,0.8060798645019531,CHN0187,1089.370550320723
MGRS-48RUT-0467,0.389805,1,5,0.9130989313125609,CHN0047,585.2202492841001
MGRS-48RVQ-0559,0.05328100174665451,1,5,0.8826189041137695,CHN0076,717.514897207356
MGRS-48RVV-0984,4.665336,1,5,0.1410873681306839,CHN0057,1420.0646485692316
MGRS-48RXT-0033,1.156377,1,5,0.8062915205955505,CHN0041,1015.7158663472509
MGRS-48RXU-1244,1.007474,1,5,0.8299384713172913,CHN0041,1662.8290868782094
MGRS-48RYV-0543,0.10052700340747832,1,5,0.8093864917755127,CHN0080,800.3186610628572
MGRS-48RTR-0162,0.718783,2,5,0.3756625354290009,CHN0061,1321.7319647526342
MGRS-48SVA-0713,1.688366,1,5,0.4216151237487793,CHN0109,1415.4812893282642
MGRS-49QCG-0012,1.382223,1,5,0.9212033748626708,CHN0068,1529.5316937147556
MGRS-49QDD-0596,2.8581090000000002,1,5,0.9578412771224976,CHN0202,1686.2181461612947
MGRS-49QDD-0596,2.8581090000000002,1,5,0.9578412771224976,CHN0122,1694.1237779069002
MGRS-49RCH-1159,0.245813,1,5,0.8976916670799255,CHN0068,1995.8321452019745
MGRS-49REL-0381,1.1686760187149048,1,5,0.8978571891784668,CHN0060,1507.5137461735899
MGRS-49RFL-0263,2.2818400859832764,1,5,0.13728469610214233,CHN0043,1775.324360594926
MGRS-49SEB-0460,1.3704839944839478,1,5,0.5052609443664551,CHN0039,1844.2318339773765
MGRS-49SEV-0059,0.2169869989156723,1,5,0.09900713711977004,CHN0089,1290.3140774846454
MGRS-49SEV-0583,0.2169869989156723,1,5,0.17149826884269714,CHN0086,2083.524609108185
MGRS-49SFA-0586,0.30156700000000003,1,5,0.3213332593441009,CHN0095,1646.9183609971885
MGRS-49SFU-0157,0.5857639908790588,1,5,0.11276059597730635,CHN0084,1519.219570489153
MGRS-49SGB-0527,0.010431000031530857,1,5,0.7747382521629333,CHN0042,983.6203985699528
MGRS-49SGC-0189,0.029004000127315518,1,5,0.22146862745285034,CHN0023,1283.6030663249585
MGRS-49TCF-0718,0.067612,1,5,0.9435122609138488,CHN0016,1964.6165783050185
MGRS-50RKR-0292,0.9648709893226624,1,5,0.9691581130027772,CHN0050,542.4301794270443
MGRS-50RKU-0127,4.951688,1,5,0.9666687250137328,CHN0055,1508.9726853836578
MGRS-50RKU-0420,4.951688,1,5,0.6945607662200928,CHN0054,1020.4289804690045
MGRS-50RKU-0514,4.951688,1,5,0.0594804510474205,CHN0059,1342.7378170050106
MGRS-50RKU-0659,4.951688,1,5,0.08951002359390259,CHN0331,1896.9912081268983
MGRS-50RNQ-0857,3.5466860000000002,1,5,0.009464635513722895,CHN0074,966.8492223916603
MGRS-50RQQ-0608,4.839825,1,5,0.9317587018013,CHN0176,379.38946694390097
MGRS-50RQV-0774,0.8526909947395325,1,5,0.01954866573214531,CHN0058,1761.3455031009994
MGRS-50SKG-0528,0.008941999636590479,1,5,0.8650144338607788,CHN0042,265.06459043061733
MGRS-50SKH-0188,0.10390499979257584,1,5,0.17054425179958346,CHN0023,1138.0147725341455
MGRS-50SKH-0653,0.10390499979257584,1,5,0.2433043867349625,CHN0021,1371.356775290347
MGRS-50SME-0739,0.5212760000000001,1,5,0.5471324324607849,CHN0088,1075.7063711237652
MGRS-50SNE-0061,0.324236,1,5,0.9100324511528016,CHN0236,1948.8252986367415
MGRS-50SNE-0061,0.324236,1,5,0.9100324511528016,CHN0286,1195.7485893410421
MGRS-50SNF-1213,0.6223639845848083,1,5,0.9944678544998168,CHN0286,1208.1804634197968
MGRS-50SNF-1249,0.6223639845848083,1,5,0.4077323377132416,CHN0236,1435.6421241086446
MGRS-50SNH-0411,2.6634809970855717,1,5,0.5466437935829163,CHN0022,1311.4952768914488
MGRS-50SPC-0763,1.269996,1,5,0.1950734704732895,CHN0100,2249.5672070257087
MGRS-50SPF-0535,0.796089,1,5,0.17600642144680026,CHN0096,1740.7529623817206
MGRS-50SPJ-0505,0.2655580043792725,1,5,0.1412971168756485,CHN0029,2446.83667134909
MGRS-50SPJ-0706,0.2655580043792725,1,5,0.1539468765258789,CHN0024,2327.451821692422
MGRS-50SQA-0865,1.7817200422286987,1,5,0.9792887568473816,CHN0106,175.16552244705616
MGRS-50SQA-0865,1.7817200422286987,1,5,0.9792887568473816,CHN0107,539.1781370336428
MGRS-50SQF-0470,1.073693,1,5,0.055542130023241036,CHN0096,2378.219055262177
MGRS-50SQF-0995,1.073693,1,5,0.28375354409217834,CHN0092,1269.1401785937333
MGRS-50TLK-0041,0.0771460011601448,1,5,0.8650612831115723,CHN0018,1932.4131083507157
