,uid,featureId,geometry,acquisitionDate,acquisitionTime,sensorType,source,sourceUnit,productType,CE90Accuracy,RMSEAccuracy,cloudCover,offNadirAngle,sunElevation,sunAzimuth,groundSampleDistance,groundSampleDistanceUnit,dataLayer,legacyDescription,outputMosaic,colorBandOrder,assetName,assetType,legacyId,factoryOrderNumber,perPixelX,perPixelY,crsFromPixels,url,ageDays,formattedDate,ingestDate,spatialAccuracy,earliestAcquisitionDate,latestAcquisitionDate,pixelsIngested,preciseGeometry,vendorName,vendorReference,companyName,acquisitionType,orbitDirection,licenseType,isBrowse,isMirrored,isMultipleWKB,copyright,beamMode,polarisationMode,polarisationChannel,antennaLookDirection,niirs,tagsAsString,bbox
0,RUS0029,79fd275800c6d99350351d7e5776833d,None,2018-11-05 05:46:30,546,None,WV02,Strip,Pan Sharpened Natural Color,8.4 meters,3.91 meters,0.0,20.706682,23.996996,177.49927,0.50,Meter,daily_take,AOI6_L3_WV2,false,RGB,FINISHED,PRODUCT_GEOMETRY,10300100886EA800,058643157-10,0.5,-0.5,EPSG:32645,None,885,2018-11-05,2018-11-05 16:56:33,"1:12,000",2018-11-05 05:46:30,2018-11-05 05:46:30,true,true,None,None,DigitalGlobe,None,None,None,false,false,false,Image Copyright 2018 DigitalGlobe Inc,None,None,None,None,4.9,None,"50.70737676889205,86.85086655170954,50.71544308221689,86.86357064829043"
0,SYR0016,64c02bc36a1e603f020bc68191f42f5c,None,2020-12-17 08:22:58,822,None,GE01,Strip,Pan Sharpened Natural Color,8.4 meters,3.91 meters,0.0,6.0871944,28.670393,164.57971,0.40,Meter,daily_take,AOI5B_L3_GE1,false,RGB,FINISHED,PRODUCT_GEOMETRY,10500100217C3200,013499853-10,3.6E-6,-3.6E-6,EPSG:4326,None,112,2020-12-17,2020-12-17 15:08:29,"1:12,000",2020-12-17 08:23:02,2020-12-17 08:23:02,true,true,None,None,DigitalGlobe,None,None,None,false,false,false,Image Copyright 2020 DigitalGlobe Inc,None,None,None,None,5.2,None,"36.533490034913484,38.67490095170955,36.543741622344314,38.687605048290436"
0,THA0004,144057b252e7bc1a73f428890c601ef5,None,2020-11-13 04:06:48,406,None,WV02,Strip,Pan Sharpened Natural Color,8.4 meters,3.91 meters,9.6101395E-4,24.95264,54.048367,157.04362,0.50,Meter,daily_take,AOI6_L3_WV2,false,RGB,FINISHED,PRODUCT_GEOMETRY,10300100B06D2F00,013351789-10,4.5E-6,-4.5E-6,EPSG:4326,None,146,2020-11-13,2020-11-13 06:22:15,"1:12,000",2020-11-13 04:06:48,2020-11-13 04:06:48,true,true,None,None,DigitalGlobe,None,None,None,false,false,false,Image Copyright 2020 DigitalGlobe Inc,None,None,None,None,4.9,None,"15.214432215591152,100.35774095170956,15.226767601511714,100.37044504829043"
0,THA0008,fba8f23ef9887021e5a18f01f5c775a7,None,2020-12-10 04:05:24,405,None,WV03_VNIR,Strip,Pan Sharpened Natural Color,8.4 meters,3.91 meters,0.0,23.417074,45.11727,157.1482,0.30,Meter,daily_take,AOI6_L3_WV3,false,RGB,FINISHED,PRODUCT_GEOMETRY,1040010062673C00,013466073-10,2.7E-6,-2.7E-6,EPSG:4326,None,119,2020-12-10,2020-12-10 06:50:29,"1:12,000",2020-12-10 04:05:24,2020-12-10 04:05:24,true,true,None,None,DigitalGlobe,None,None,None,false,false,false,Image Copyright 2020 DigitalGlobe Inc,None,None,None,None,5.5,None,"18.548263532037176,99.56572495170954,18.560380250354353,99.57842904829042"
0,THA0013,0594119b40d03306a9ef66cde51976ad,None,2020-03-14 04:06:30,406,None,GE01,Strip,Pan Sharpened Natural Color,8.4 meters,3.91 meters,0.0,25.299828,64.31934,129.59386,0.40,Meter,daily_take,AOI6_L3_GE1,false,RGB,FINISHED,PRODUCT_GEOMETRY,105001001BD7A100,012212471-10,3.6E-6,-3.6E-6,EPSG:4326,None,390,2020-03-14,2020-03-14 09:26:55,"1:12,000",2020-03-14 04:06:34,2020-03-14 04:06:34,true,true,None,None,DigitalGlobe,None,None,None,false,false,false,Image Copyright 2020 DigitalGlobe Inc,None,None,None,None,4.9,None,"14.640125501998131,101.12014395170955,14.652494321356624,101.13284804829044"
0,TUR0028,caec0ebf051da625880d61abb8068e87,None,2020-12-04 08:55:49,855,None,WV03_VNIR,Strip,Pan Sharpened Natural Color,8.4 meters,3.91 meters,0.0,29.655685,26.103466,165.2408,0.40,Meter,daily_take,AOI5A_L3_WV3,false,RGB,FINISHED,PRODUCT_GEOMETRY,104005002BDCED00,013440264-10,3.6E-6,-3.6E-6,EPSG:4326,None,125,2020-12-04,2020-12-04 10:59:30,"1:12,000",2020-12-04 08:55:49,2020-12-04 08:55:49,true,true,None,None,DigitalGlobe,None,None,None,false,false,false,Image Copyright 2020 DigitalGlobe Inc,None,None,None,None,5.3,None,"40.18111406454032,29.21843795170955,40.19085758283384,29.231142048290437"
0,TUR0039,14f2fc2f0da0fec79244c2986819cc6e,None,2020-09-03 09:16:06,916,None,WV02,Strip,Pan Sharpened Natural Color,8.4 meters,3.91 meters,0.032543864,26.95771,54.866013,158.9581,0.50,Meter,daily_take,AOI5A_L3_WV2,false,RGB,FINISHED,PRODUCT_GEOMETRY,10300100AB487C00,013023194-10,4.5E-6,-4.5E-6,EPSG:4326,None,217,2020-09-03,2020-09-03 14:04:13,"1:12,000",2020-09-03 09:16:06,2020-09-03 09:16:06,true,true,None,None,DigitalGlobe,None,None,None,false,false,false,Image Copyright 2020 DigitalGlobe Inc,None,None,None,None,4.8,None,"40.960973952544734,28.662771951709555,40.9706036934591,28.67547604829044"
0,TWN0014,870bb151bf1ff2e447d2fb9beb520dad,None,2020-11-26 02:24:27,224,None,GE01,Strip,Pan Sharpened Natural Color,8.4 meters,3.91 meters,0.34706813,25.472574,40.876194,156.60068,0.40,Meter,daily_take,AOI6_L3_GE1,false,RGB,FINISHED,PRODUCT_GEOMETRY,1050010021310200,013404564-10,3.6E-6,-3.6E-6,EPSG:4326,None,133,2020-11-26,2020-11-26 05:01:00,"1:12,000",2020-11-26 02:24:40,2020-11-26 02:24:40,true,true,None,None,DigitalGlobe,None,None,None,false,false,false,Image Copyright 2020 DigitalGlobe Inc,None,None,None,None,4.9,None,"24.580266520013762,121.84526295170954,24.59188320758918,121.85796704829045"
0,USA0013,566260150398c4f119d312c12826624c,None,2020-07-17 17:08:11,1708,None,WV02,Strip,Pan Sharpened Natural Color,8.4 meters,3.91 meters,0.007922884,10.803375,67.69654,115.99252,0.40,Meter,daily_take,AOI4_L3_WV2,false,RGB,FINISHED,PRODUCT_GEOMETRY,10300100A6ABFF00,012831591-10,3.6E-6,-3.6E-6,EPSG:4326,None,265,2020-07-17,2020-07-17 20:35:19,"1:12,000",2020-07-17 17:08:11,2020-07-17 17:08:11,true,true,None,None,DigitalGlobe,None,None,None,false,false,false,Image Copyright 2020 DigitalGlobe Inc,None,None,None,None,5.1,None,"32.5155711585517,-97.01310604829044,32.526334516080716,-97.00040195170955"
0,USA0020,bfd0997e5fe9688e29b1b75ff22188a6,None,2020-09-16 17:09:02,1709,None,GE01,Strip,Pan Sharpened Natural Color,8.4 meters,3.91 meters,0.22937322,13.188396,52.208645,152.19156,0.40,Meter,daily_take,AOI4_L3_GE1,false,RGB,FINISHED,PRODUCT_GEOMETRY,105001001FB2E900,013075075-10,3.6E-6,-3.6E-6,EPSG:4326,None,204,2020-09-16,2020-09-16 21:55:21,"1:12,000",2020-09-16 17:09:42,2020-09-16 17:09:42,true,true,None,None,DigitalGlobe,None,None,None,false,false,false,Image Copyright 2020 DigitalGlobe Inc,None,None,None,None,5.1,None,"36.26713928188283,-95.22977704829046,36.27742637631881,-95.21707295170955"
