country,location_id,company_name,number_plants,number_blast_furnace,total_capacity,location_name,latitude,longitude,accuracy,uid
UNITED STATES,8000202,CRUCIBLE CORP.,4,0,125,"SYRACUSE, NY",43.069844,-76.2129306,Exact,USA0112
UNITED STATES,8000221,"KEYSTONE-CALUMET, INC.",1,0,158,"CHICAGO HEIGHTS, IL",41.511863,-87.6239007,Exact,USA0113
UNITED STATES,8000231,CASCADE STEEL ROLL. MILLS,6,0,2800,"MC MINNVILLE, OR",40.642416,-89.649601,Exact,USA0114
UNITED STATES,8000261,FINKL STEEL,4,0,301.5,"CHICAGO, IL",41.7248352,-87.5920173,Exact,USA0115
UNITED STATES,8000272,GERDAU,3,0,1265,"KNOXVILLE, TN",35.977949,-83.956626,Exact,USA0116
UNITED STATES,8000273,GERDAU,3,0,1170,"CHARLOTTE, NC",35.340464,-80.826904,Exact,USA0117
UNITED STATES,8000274,GERDAU,4,0,2070,"JACKSONVILLE, FL",30.282723,-81.978372,Exact,USA0118
UNITED STATES,8000275,GERDAU,3,0,1570,"JACKSON, TN",35.727357,-88.808439,Exact,USA0119
UNITED STATES,8000276,GERDAU,4,0,3120,"CARTESVILLE, GA",34.242043,-84.798825,Exact,USA0120
UNITED STATES,8000281,FRANKLIN IND. CO,1,0,105,"FRANKLIN, PA",41.402084,-79.8472323,Exact,USA0121
UNITED STATES,8000311,ARCELORMITTAL MINORCA MINE,1,0,2600,"MINORCA MINE VIRGINIA, MN",47.558539,-92.517058,Exact,USA0122
UNITED STATES,8000321,MSC WALBRIDGE COATINGS,1,0,360,"WALBRIDGE, OH",41.5954056,-83.5090423,Exact,USA0123
UNITED STATES,8000341,ARCELORMITTAL USA,18,1,27775,"IND. HARBOR EAST-EAST CHICAGO, IN",41.658818,-87.442384,Exact,USA0124
UNITED STATES,8000342,ARCELORMITTAL USA,4,0,1650,"IND. HARBOR EAST BAR-EAST CHICAGO, IN",41.656569,-87.451708,Exact,USA0125
UNITED STATES,8000351,ARCELORMITTAL USA,4,0,4000,"RIVERDALE, IL",41.651109,-87.631063,Exact,USA0126
UNITED STATES,8000371,IRI INTERNATIONAL,2,0,10,"PAMPA, TX",35.5361559,-100.9598709,Approximate,USA0127
UNITED STATES,8000381,CARPENTER TECHNOLOGY,29,0,489.5,"READING, PA",40.3589178,-75.9431451,Exact,USA0128
UNITED STATES,8000382,CARPENTER TECHNOLOGY,2,0,60,"HARTSVILLE, SC",34.4308193,-80.1702511,Exact,USA0129
UNITED STATES,8000401,OUTOKUMPU STAINLESS USA,1,0,60,"NEW CASTLE, IN",39.9317426,-85.3967539,Exact,USA0130
UNITED STATES,8000411,OUTOKUMPU STAINLESS USA,2,0,45,"RICHBURG, SC",34.7491117,-81.0414069,Exact,USA0131
UNITED STATES,8000431,VALBRUNA SLATER STAINLESS INC,3,0,140,"FORT WAYNE, IN",41.0702318,-85.1728632,Exact,USA0132
UNITED STATES,8000461,CALIFORNIA STEEL IND.,8,0,6617,"FONTANA, CA",34.078592,-117.499294,Exact,USA0133
UNITED STATES,8000471,HAYNES INC.,12,0,66,"KOKOMO, IN",40.4706833,-86.1608238,Exact,USA0134
UNITED STATES,8000481,KEYSTONE STEEL & WIRE CO,4,0,2860,"PEORIA, IL",40.642416,-89.649601,Exact,USA0135
UNITED STATES,8000491,OLYMPIC STEEL INC,1,0,150,"GARY, IN",41.6292129,-87.3939595,Exact,USA0136
UNITED STATES,8000501,ALTON STEEL INC,5,0,2320,"ALTON, IL",38.884465,-90.14579,Exact,USA0137
UNITED STATES,8000511,LATROBE SPECIALITY STEEL,9,0,60,"LATROBE, PA",40.3039329,-79.3730428,Exact,USA0138
UNITED STATES,8000531,ARCELORMITTAL USA,7,0,3457,"COATESVILLE, PA",39.977625,-75.825315,Exact,USA0139
UNITED STATES,8000532,ARCELORMITTAL USA,1,0,450,"CONSHOHOCKEN, PA",40.088616,-75.3198308,Exact,USA0140
UNITED STATES,8000541,ARCELORMITTAL USA,13,2,21638,"CLEVELAND, OH",41.473693,-81.66582,Exact,USA0141
UNITED STATES,8000542,ARCELORMITTAL USA,1,0,900,"GARY, IN",41.630168,-87.12421,Exact,USA0142
UNITED STATES,8000543,ARCELORMITTAL USA,16,2,23047,"IND. HARBOR WEST-EAST CHICAGO, IN",41.671793,-87.451508,Exact,USA0143
UNITED STATES,8000548,ARCELORMITTAL USA,1,0,498,"WARREN COKE PLANT, OH",41.2088925,-80.8204508,Exact,USA0144
UNITED STATES,8000561,LETOURNEAU TECHNOLOGIES INC.,5,0,495,"LONGVIEW, TX",41.2088925,-80.8204508,Exact,USA0145
UNITED STATES,8000601,NUCOR MARION STEEL,3,0,1120,"MARION, OH",40.572056,-83.139403,Exact,USA0146
UNITED STATES,8000641,U.S. STEEL CORP.,17,3,25720,"GR.LAKES ECORSE, MI",42.255419,-83.129079,Exact,USA0147
