uid_v3,uid_v4.1,latitude,longitude,reported_capacity,num_labelers,plant_type,production_type,plant_area_mean,plant_area_median,plant_area_max,kiln_area_mean,kiln_area_median,kiln_area_max
ESP0009,ESP0019,40.244961,-3.474441,2.9,3,Integrated,Dry,567601.081493519,525462.293295264,671855.897744215,1105.6686778903625,1038.3936589982968,1319.4729729963215
ESP0010,ESP0055,41.316271,1.729998,1.8,3,Grinding,Wet,34610.0758745887,21728.175489768884,63065.76202489868,0.0,0.0,0.0
ESP0011,ESP0021,41.941676,-4.46587,0.815,3,Grinding,Dry,172116.94935501058,191722.30932546992,223101.63639176945,0.0,0.0,0.0
ESP0012,ESP0001,42.874825,-4.15978,0.83,3,Integrated,Dry,103698.14000359514,69118.25028687992,194744.11545435546,106.8208803456247,103.60116034379318,131.94665788835138
ESP0013,ESP0020,42.882983,-2.190187,1.055,3,Integrated,Dry,130645.37591205539,129276.05656842956,149041.7211911137,243.7921355313391,208.58537566341795,343.2189503151032
ESP0038,ESP0036,41.510001,0.891293,1.0,3,Grinding,Wet,309462.73597829265,305430.78333961975,318651.5695642907,0.0,0.0,0.0
ETH0001,ETH0003,9.42172,38.341658,2.5,3,Grinding,Dry,620477.5628669197,649974.4682139537,657818.8116425687,85.66325297409524,0.0,256.9897589222857
FRA0020,FRA0006,48.980312,1.820137,2.0,3,Integrated,Dry,80168.04382614967,77583.72142957037,86896.43055034269,315.6746308882039,308.0095509351037,338.97406981288407
GHA0001,GHA0007,5.621991,-0.014344,1.5,3,Grinding,Wet,49006.411759836155,43749.73862454922,72572.72964734229,0.0,0.0,0.0
GTM0001,GTM0004,13.969258,-90.794927,0.5,3,Grinding,Wet,68954.68989187897,79324.97610054852,85352.8844567399,6.4406213817788975,0.0,19.321864145336693
IND0001,IND0182,20.928244,78.922224,0.58,3,Grinding,Wet,43554.03129490822,41614.6961562406,61136.74358405217,0.0,0.0,0.0
IND0002,IND0047,23.562013,87.23354,2.3,3,Grinding,Wet,121176.27066497074,124162.94572330851,124782.18650322054,42.36078283065832,0.0,127.08234849197497
IND0003,IND0186,24.254955,80.797654,3.0,3,Integrated,Dry,358276.914372685,370195.86630340305,376306.24604988494,301.2725728494329,315.2951490188001,389.2061749552309
IND0004,IND0046,24.595585,80.858324,2.2,3,Integrated,Dry,677179.5556932905,527324.6962840965,982411.2463304101,496.7858482396746,434.6079031763829,710.4677504781148
IND0005,IND0048,24.930921,74.634164,4.0,3,Integrated,Dry,453373.9498924436,221793.89689157106,1049422.0712042393,817.5979638468125,793.6370688674962,1028.8056140830236
IND0006,IND0045,26.253459,81.250948,1.3,3,Grinding,Wet,24588.592095731157,21190.37694065671,33776.35157194383,0.0,0.0,0.0
IND0007,IND0185,26.404843,81.130322,2.0,3,Grinding,Wet,128499.35371949078,112626.24699729349,169089.16704841924,0.0,0.0,0.0
IND0014,IND0062,19.724394,79.176075,6.0,3,Integrated,Dry,812937.1267230444,532724.6954967539,1408063.4132099925,837.7869389790562,808.1133450480315,1007.482900808199
IND0015,IND0061,21.497474,81.78279,2.4,3,Integrated,Dry,1302981.301308889,520515.36909391783,3297575.678196368,516.8269392858906,492.6606285574916,592.299871068014
IND0016,IND0064,24.202644,80.799867,4.2,3,Integrated,Dry,598666.096979187,449997.45857339806,1090309.3306698154,881.4953801989561,924.9619534435426,1152.9119809580352
IND0017,IND0063,24.388462,88.083237,2.0,3,Integrated,Wet,266594.38061781466,134459.70585760605,539389.8879445369,100.53347721567623,150.38590500818228,151.2145266388464
IND0018,IND0066,10.712664,78.09319,4.5,3,Integrated,Dry,447582.42531114403,488807.8675196604,662681.7724592657,475.7978419124405,362.40002504307813,870.0224652704819
IND0019,IND0068,10.937116,78.152888,1.7,3,Integrated,Dry,187155.47180118028,200445.65230088116,209506.6937659424,134.102988395714,119.99914881698044,164.32015096921995
IND0056,IND0269,13.260661,80.306354,1.0,3,Grinding,Wet,55038.55146057419,38959.43340831749,108760.6954019763,29.40277497452813,0.0,88.20832492358439
IND0058,IND0272,14.60521,78.522478,4.6,3,Integrated,Dry,661259.2088403126,664070.148129341,1093499.5309750068,673.5601006092771,705.72679527165,720.6222639231896
IND0060,IND0288,17.540668,76.034869,0.95,3,Grinding,Wet,23895.029586269557,24263.149510227875,26000.30740130775,0.0,0.0,0.0
IND0063,IND0228,8.78885,77.730918,2.05,3,Integrated,Dry,435110.2685123702,462240.73328827793,483910.5943462964,480.14978097773354,473.31759839085817,599.9575859886503
IND0064,IND0221,11.357619,79.223045,1.85,3,Grinding,Dry,209927.79464579973,113802.3828648888,407997.6184042982,94.83380112249893,0.0,284.5014033674968
IND0065,IND0227,11.454468,77.828686,0.86,3,Integrated,Dry,127622.01232896236,82738.26768393524,249745.88013740952,74.39894290392643,92.56559081410353,130.63123789767576
IND0066,IND0225,13.241161,80.291687,1.1,3,Grinding,Wet,67673.87472594717,39704.087107401836,139706.33803616677,0.0,0.0,0.0
IND0067,IND0230,14.642947,78.528902,0.73,3,Grinding,Dry,141100.07222290197,63171.42547669844,311318.4620622468,0.0,0.0,0.0
IND0068,IND0222,14.665693,78.457835,1.46,3,Integrated,Dry,237759.33405528264,295465.37738787505,326587.57703259913,175.0751307539435,163.00464078701395,216.19716382273793
IND0069,IND0229,16.696363,79.648627,2.5,3,Integrated,Dry,482478.4294337534,581600.898127829,777965.7806925924,694.6168309982212,717.8289793078986,925.735376804233
IND0070,IND0224,17.308165,77.474324,2.4,3,Integrated,Dry,169562.96071494726,149463.55230789699,267091.38429748,352.40253560597034,315.1060801862672,457.5084527156696
IND0071,IND0226,18.861883,76.542925,1.1,3,Grinding,Wet,112731.38755385367,93119.56929270331,156522.94904502708,0.0,0.0,0.0
IND0072,IND0238,23.603059,74.256034,1.5,3,Integrated,Dry,271104.4039387256,215776.13673797395,431140.6571527464,188.7440432110582,176.7042050082331,222.72637165884456
IND0086,IND0112,15.179579,76.700306,0.6,3,Grinding,Wet,237854.7648349123,159238.1869299285,408840.94895210373,0.0,0.0,0.0
IND0087,IND0108,15.686282,78.458991,4.8,3,Integrated,Dry,832547.446976732,795013.5797217892,933104.2510750731,275.3028692031024,271.99731170884775,321.9652216434321
IND0088,IND0109,18.682155,73.03803,0.97,3,Grinding,Wet,58602.7324076538,62625.603644782605,68105.53580810914,0.0,0.0,0.0
IND0089,IND0280,22.576171,87.309609,2.4,3,Grinding,Wet,198046.79859109892,176287.2649357402,342234.2591859362,0.0,0.0,0.0
IND0119,IND0142,9.748529,76.362414,0.2,3,Grinding,Wet,20445.412917356458,13711.94446145192,38149.777163777246,0.0,0.0,0.0
IND0120,IND0144,10.848197,76.835789,0.66,3,Grinding,Dry,90921.71460672264,47543.7154832247,183783.46007920627,0.0,0.0,0.0
IND0121,IND0150,19.787467,79.064451,3.2,3,Integrated,Dry,215837.0257558995,160912.55027234656,395265.7015149634,309.0517275309679,295.0572430194147,342.18158105993473
IND0131,IND0284,14.27251,80.11508,2.0,3,Grinding,Wet,62954.87500705034,51753.29782423955,89936.01496178613,0.0,0.0,0.0
IND0132,IND0164,14.951422,78.075824,1.8,3,Integrated,Dry,149798.19871330983,166004.80585191862,193821.73443418962,296.6963639246969,296.47613854150393,312.83054693469705
IND0133,IND0166,15.061606,77.950937,2.0,3,Integrated,Dry,224566.13895308887,179412.51411220274,352605.10104013444,257.3563208965552,255.37521202788028,273.1666330610566
IND0134,IND0168,16.718672,79.694801,1.2,3,Integrated,Dry,216269.41528771486,186779.13672752792,377257.3644811086,154.64034767228253,136.48489305769402,199.68479486983466
IND0135,IND0165,17.296071,77.504923,2.0,3,Integrated,Dry,182624.84114103412,207533.16841059283,209310.46428414085,220.62357385710038,225.96438888272542,228.9694757347307
IND0136,IND0167,18.473438,74.484301,1.0,3,Grinding,Wet,50140.72069869485,59096.6578793041,60358.86907262721,0.0,0.0,0.0
IND0137,IND0177,9.455703,77.927796,2.0,3,Integrated,Dry,333313.8243317841,281489.2206215726,463326.4843874287,257.90668421762894,238.33555161392417,314.0115090652945
IND0138,IND0173,11.177107,79.08911,3.5,3,Integrated,Dry,547557.9056661888,555080.912365853,766786.6228307202,1218.082260984778,1419.3510640432212,1797.012491588578
IND0139,IND0176,11.361772,79.232041,3.05,3,Integrated,Dry,529873.2217794014,640161.3678102841,786827.5082101991,475.54554652704275,379.80275313069103,688.6253516387878
IND0140,IND0233,11.634286,78.403619,1.6,3,Grinding,Wet,48487.65539539475,47281.90549106883,58328.93293019294,0.0,0.0,0.0
IND0141,IND0232,12.643418,79.69946,0.5,3,Integrated,Dry,112015.30605192635,88563.22726356576,186393.66511015946,368.2600398862149,312.20665817090384,510.0364551948626
IND0142,IND0175,13.758783,76.422107,0.29,3,Integrated,Dry,106927.46841419762,122331.9964050903,176801.6163704406,149.5326584713846,148.19173458533828,203.1034580725875
IND0143,IND0174,16.875719,80.1215,3.65,3,Integrated,Dry,359928.17613210494,252206.5297057782,616270.073235067,672.9176765630913,415.61575946723065,1195.605314755574
IND0144,IND0234,17.617542,82.891222,0.95,3,Grinding,Wet,94442.470088084,94434.59165180686,166415.48248719212,0.0,0.0,0.0
IND0145,IND0231,22.423362,87.862852,1.95,2,Grinding,Wet,202060.8232747332,202060.8232747332,207985.1991690648,0.0,0.0,0.0
IND0146,IND0190,15.075325,77.982725,1.0,3,Integrated,Dry,431253.5458058725,518039.2115809968,524917.7211077041,163.56447822093767,167.62538709397475,188.17325199523785
IND0160,IND0040,14.586917,78.579757,5.0,3,Integrated,Dry,405761.89478014,335267.49674790044,712336.8794131005,656.5976457992601,661.341926657532,695.7618807669786
IND0161,IND0267,17.303447,77.43615,2.75,3,Integrated,Dry,392881.2146381646,329761.50339247286,670384.1082390598,302.21199694301214,309.91897582424826,345.4050105657786
IRN0005,IRN0031,29.253013,54.475132,0.165,3,Integrated,Dry,134280.49850682137,123799.1526660882,168189.579001842,118.58555368800457,121.93787362482729,233.81878743918642
IRN0013,IRN0025,37.452818,57.686191,0.6,3,Integrated,Dry,227371.19731610143,171456.0420267288,374530.1467056734,647.4584032657267,515.0469676000976,1004.0045089195607
